County,Legal Name,Trade Name,Postal Code,Country,Account Code,License Type,Expiration Date,Address & Lat/Long
ERIE,MARC ENTERPRISES INC,SACRED HEART USHERS CLUB,16508-1604,US,25**8756,Vending,02/28/2023,"716 W 26TH ST
ERIE, PA 16508-1604
(42.105899, -80.089986)"
BUTLER,DOLGENCORP LLC,DOLLAR GENERAL #18994,16041,US,10**7234,Retail,02/28/2023,"109 MAIN ST
KARNS CITY, PA 16041
(40.994204, -79.726167)"
CUMBERLAND,SHEETZ INC,SHEETZ # 657,17011,US,21**7410,Retail,02/28/2023,"91 ERFORD RD
CAMP HILL, PA 17011
(40.258825, -76.917954)"
ALLEGHENY,BELLEVUE TOBACCO & NEWS LLC,BELLEVUE TOBACCO & NEWS LLC,15202,US,02**9569,Cig/OTP Retail,02/28/2023,"615 LINCOLN AVENUE
BELLEVUE, PA 15202
(40.497151, -80.058769)"
MONTGOMERY,WALGREEN EASTERN CO INC,WALGREENS #07225,19027,US,70**9048,Cig/OTP Retail,02/28/2023,"1 YORKTOWN PLAZA
ELKINS PARK, PA 19027
(40.07857, -75.127329)"
BERKS,AMR TRADING CORP,BETHEL FOOD SHOP,19507,US,06**2049,Cig/OTP Retail,02/28/2023,"8558 LANCASTER AVE
BETHEL, PA 19507
(40.47513, -76.294248)"
PHILADELPHIA,MADERA GROCERY & DELI INC,MADERA GROCERY & DELI INC,19121,US,51**3648,Retail,02/28/2023,"1754 N 27TH STREET
PHILADELPHIA, PA 19121
(39.982835, -75.178545)"
PHILADELPHIA,M T DELI GROCERY INC,M T DELI GROCERY INC,19120,US,51**3613,Retail,02/28/2023,"5766 COLGATE ST
PHILADELPHIA, PA 19120
(40.041997, -75.102841)"
LAWRENCE,PATEL HOSPITALITY LLC,ELDORADO MOTEL,16101,US,37**5553,Retail,02/28/2023,"2618 NEW BUTLER RD
NEW CASTLE, PA 16101
(40.976897, -80.292486)"
PHILADELPHIA,"TIOGA 2623, INC","TIOGA 2623, INC",19134-5416,US,51**8618,Retail,02/28/2023,"2623 E TIOGA ST
PHILADELPHIA, PA 19134-5416
(39.988694, -75.096219)"
BERKS,M&J FOOD MARKET LLC,M&J FOOD MARKET,19602,US,06**5554,Cig/OTP Retail,02/28/2023,"313 S 7TH ST
READING, PA 19602
(40.330074, -75.924115)"
UNKNOWN/OUT OF STATE,US SMOKELESS TOBACCO COMPANY LLC,US SMOKELESS TOBACCO,23230,US,99**0038,OTP Manufacturer,02/28/2023,"6603 WEST BROAD STREET
RICHMOND, VA 23230
(37.602533, -77.515145)"
NORTHAMPTON,KS PETRO-MART LLC,KS PETRO-MART LLC,18091,US,48**2004,OTP Retail,02/28/2023,"404 N LEHIGH AVE
WIND GAP, PA 18091
(40.852306, -75.284874)"
CHESTER,HNOS LARA LLC,HNOS LARA LLC,19363,US,15**9579,Retail,02/28/2023,"159 N THIRD STREET
OXFORD, PA 19363
(39.789585, -75.978162)"
DAUPHIN,JAYANTKUMAR PATEL,"PATEL, JAYANTKUMAR F",17034-1004,US,22**3525,Cig/OTP Retail,02/28/2023,"80 2ND STREET
HIGH SPIRE, PA 17034-1004
(40.210644, -76.79456)"
COLUMBIA,HESS CAFE INC,HESS CAFE,17815,US,19**4878,OTP Vending,02/28/2023,"118 EAST MAIN STREET
BLOOMSBURG, PA 17815
(41.003897, -76.454729)"
BUCKS,RD S INC,LUKOIL,18976,US,09**3356,Cig/OTP Retail,02/28/2023,"1400 EASTON ROAD
WARRINGTON, PA 18976
(40.252005, -75.133175)"
LEHIGH,CENTRAL CITY MARKET LLC,CENTRAL CITY MARKET,18102,US,39**5254,Cig/OTP Retail,02/28/2023,"405 W LINDEN ST
ALLENTOWN, PA 18102
(40.605298, -75.466306)"
LANCASTER,WILLOW STREET ENTERPRISE LLC,WILLOW STREET ENTERPRISE LLC,17584,US,36**3826,OTP Retail,02/28/2023,"2930 WILLOW STREET PIKE N
WILLOW STREET, PA 17584
(39.971023, -76.273353)"
INDIANA,PATNAM CORPORATION,PATNAM CORPORATION,15701,US,32**8262,OTP Retail,02/28/2023,"726 PHILADELPHIA STREET
INDIANA, PA 15701
(40.622985, -79.153699)"
ALLEGHENY,YUVI DHALIWAL LLC,YUVI DHALIWAL,15237,US,02**3657,Cig/OTP Retail,02/28/2023,"7599 MCKNIGHT ROAD
PITTSBURGH, PA 15237
(40.544201, -80.014857)"
BUCKS,YATOOTA LLC,7-ELEVEN STORE #11381E,18974,US,09**2339,Cig/OTP Retail,02/28/2023,"220 E. STREET ROAD
WARMINSTER TOWNSHIP, PA 18974
(40.193256, -75.076112)"
BUCKS,SAMAR ABBOUD,7-ELEVEN STORE 2405-11365E,19067,US,09**8851,Cig/OTP Retail,02/28/2023,"303 W TRENTON AVE
MORRISVILLE, PA 19067
(40.211968, -74.792747)"
DAUPHIN,NAMASTE GROCERY 1 LLC,NAMASTE GROCERY 1,17111,US,22**8591,OTP Retail,02/28/2023,"4800 DERRY ST
HARRISBURG, PA 17111
(40.258488, -76.803818)"
PHILADELPHIA,LUISIANY INC,RODNEY STREET FOOD MARKET & DELI,19138,US,51**5362,Cig/OTP Retail,02/28/2023,"6901 RODNEY ST
PHILADELPHIA, PA 19138
(40.057104, -75.156239)"
PHILADELPHIA,JOSE ALEXANDER CRUZ INC DBA: JAQUEZ GROC,267-461-0075,19104,US,51**2504,Retail,02/28/2023,"957 N 43RD STREET
PHILADELPHIA, PA 19104
(39.971316, -75.21043)"
PHILADELPHIA,EMMANUEL DELI GROCERY INC,EMMANUEL DELI GROCERY INC,19133,US,51**3447,OTP Retail,02/28/2023,"145 W CUMBERLAND STREET
PHILADELPHIA, PA 19133
(39.987996, -75.133012)"
PHILADELPHIA,ORGANIC CONVENIENCE STORE INC,ORGANIC CONVENIENCE STORE INC,19135,US,51**2338,Cig/OTP Retail,02/28/2023,"6912 TORRESDALE AVE
PHILADELPHIA, PA 19135
(40.026178, -75.042797)"
PHILADELPHIA,Y & D DELI GROCERY INC,Y  D DELI GROCERY INC,19133,US,51**2786,Retail,02/28/2023,"2963 N 6TH STREET
PHILADELPHIA, PA 19133
(39.996855, -75.141191)"
ELK,ALICIA M. BECK,CORNER MARKET & DELI,15846,US,24**4114,Cig/OTP Retail,02/28/2023,"421 MAIN STREET
KERSEY, PA 15846
(41.3615, -78.610756)"
DAUPHIN,JIMS DELI,ALICIA S DELI,17101-1244,US,22**9480,Retail,02/28/2023,"116 PINE ST
HARRISBURG, PA 17101-1244
(40.261422, -76.885774)"
UNKNOWN/OUT OF STATE,SCANDINAVIAN TOBACCO GROUP LANE LTD,SCANDINAVIAN TOBACCO GROUP,18015,US,99**0033,OTP Manufacturer,02/28/2023,"1911 SPILLMAN DR
BETHLEHEM, PA 18015
(40.612858, -75.343732)"
ALLEGHENY,A & F UNITED CORPORATION,UNITED FOOD MART,15204,US,02**0534,Cig/OTP Retail,02/28/2023,"3112 CHARTIERS AVENUE
PITTSBURGH, PA 15204
(40.453553, -80.061488)"
UNKNOWN/OUT OF STATE,"CONSUMER PRODUCT DISTRIBUTORS, LLC",J POLEP DISTRIBUTION SERVICES,01013-4820,US,00**0251,CSA/OTP Wholesale,02/28/2023,"705 MEADOW ST
CHICOPEE, MA 01013-4820
(42.167968, -72.61427)"
LACKAWANNA,RISH CORP OF PA,RISH CORP OF PA,18504,US,35**7716,Retail,02/28/2023,"429 NORTH MAIN AVE
SCRANTON, PA 18504
(41.415734, -75.67653)"
LACKAWANNA,JOHN AZZARELLI,DUNMORE TOBACCO & TRADING CO,18512,US,35**5639,Cig/OTP Retail,02/28/2023,"739 E DRINKER ST
DUNMORE, PA 18512
(41.418873, -75.616082)"
FAYETTE,KRUPA GAS CORPORATION,CIT GO,15417,US,26**8793,Cig/OTP Retail,02/28/2023,"6002 NATIONAL PIKE E
BROWNSVILLE, PA 15417"
MCKEAN,M K HAHN INCORPORATED,MUNCHIES FOOD SHOP 2,16731-4417,US,42**2332,Cig/OTP Retail,02/28/2023,"23 MAIN ST
ELDRED, PA 16731-4417
(41.953067, -78.384637)"
SOMERSET,SHAH & ALAM ENTERPRISES LLC,SHAH & ALAM ENTERPRISES LLC,15501,US,56**1183,Cig/OTP Retail,02/28/2023,"10770 SOMERSET PIKE
SOMERSET, PA 15501
(40.067799, -79.077599)"
LEHIGH,SUN MINI MART INC,SUN MINI MART INC,18104,US,39**4716,Cig/OTP Retail,02/28/2023,"301 N CEDAR CREST BLVD
ALLENTOWN, PA 18104
(40.592442, -75.525796)"
WESTMORELAND,LDS BEER HOUSE LIMITED,LDS BEERHOUSE,15644-9534,US,65**5442,Cig/OTP Retail,02/28/2023,"102 OAKFORD PARK RD.
JEANNETTE, PA 15644-9534
(40.329073, -79.597216)"
LANCASTER,WILLOW VALLEY CENTER LLC,WILLOW  VALLEY CENTER LLC,17584,US,36**2032,Cig/OTP Retail,02/28/2023,"2504 WILLOW STREET PIKE
WILLOW STREET, PA 17584
(39.990242, -76.284482)"
LANCASTER,DHANVI INC,NEXT DOOR FOOD STORE,17522,US,36**7726,OTP Retail,02/28/2023,"644 EAST MAIN STREET
EPHRATA, PA 17522
(40.170586, -76.16969)"
PHILADELPHIA,CASTOR CONVENIENCE STORE INC,CASTOR CONVENIENCE STORE INC,19149,US,51**2091,Cig/OTP Retail,02/28/2023,"6392 CASTOR AVE
PHILADELPHIA, PA 19149
(40.039057, -75.077788)"
CLINTON,"VASAS, INC.",LUCKY 7 TRAVEL PLAZA,17745,US,18**1338,Cig/OTP Retail,02/28/2023,"360 E WALNUT ST
LOCK HAVEN, PA 17745
(41.132332, -77.441347)"
ARMSTRONG,GLASSMERE FUEL SERVICE INC,GLASSMERE FOOD MART #322,16212,US,03**5704,OTP Retail,02/28/2023,"290 PROSPECT AVE
CADOGAN, PA 16212
(40.75271, -79.582116)"
DELAWARE,GOVIND INC,MANEUVERS NEWS STAND,19064-1215,US,23**2142,Cig/OTP Retail,02/28/2023,"757 W SPROUL RD
SPRINGFIELD, PA 19064-1215
(39.943196, -75.349304)"
BUCKS,SELECTIVE VENDING SERVICES INC,SELECTIVE VENDING SERVICE,19020,US,09**4814,Vending,02/28/2023,"3001 STREET ROAD
BENSALEM, PA 19020
(40.116743, -74.958853)"
MONROE,AROD MANAGEMENT CORPORATION,STOGIES,18301,US,45**2992,Retail,02/28/2023,"21 CRYSTAL STREET
EAST STROUDSBURG, PA 18301
(40.998912, -75.181834)"
ALLEGHENY,SHYAM BEER DISTRIBUTOR INC,SHYAM BEER DISTRIBUTOR INC,15025,US,02**4304,Cig/OTP Retail,02/28/2023,"1450 PA 51
CLAIRTON, PA 15025
(40.301257, -79.929432)"
WASHINGTON,HYDRO SC LLC,1500 W. CHESTNUT ST,15301,US,63**2840,OTP Retail,02/28/2023,"1500 WEST CHESTNUT ST
WASHINGTON, PA 15301
(40.163348, -80.275884)"
ALLEGHENY,ZEE2 LLC,CHOICE,15144-1408,US,02**9900,Cig/OTP Retail,02/28/2023,"448 PITTSBURGH ST
SPRINGDALE, PA 15144-1408
(40.541264, -79.7877)"
PHILADELPHIA,CAYUGA FOOD MARKET & DELI INC,CAYUGA FOOD MARKET & DELI INC,19124-3817,US,51**8679,Cig/OTP Retail,02/28/2023,"913 E CAYUGA ST
PHILADELPHIA, PA 19124-3817
(40.014806, -75.108695)"
LEHIGH,WERLEY'S MARKET INC,WERLEY'S MARKET,18069,US,39**3948,Cig/OTP Retail,02/28/2023,"2205 VILLAGE ROAD
OREFIELD, PA 18069
(40.619507, -75.58246)"
FAYETTE,CHURCHILL CIGAR LOUNGE LLC,CHURCHILL CIGAR LOUNGE,15425,US,26**4715,OTP Retail,02/28/2023,"136 SOUTH PITTSBURGH STREET
CONNELLSVILLE, PA 15425
(40.016779, -79.589075)"
PHILADELPHIA,ATUL AMIN,CLOTH PIN NEWS STAND,19102,US,51**7849,Retail,02/28/2023,"15TH MARKET SW CORNER
PHILADELPHIA, PA 19102"
CENTRE,G MINI STOP LLC,G MINI STOP LLC,16841,US,14**7897,Cig/OTP Retail,02/28/2023,"280 WALNUT ST
HOWARD, PA 16841
(41.015039, -77.660851)"
FAYETTE,STERLING FOODS LLC,BEER WAREHOUSE,15401-5090,US,26**2577,Cig/OTP Retail,02/28/2023,"130 WALNUT HILL RD
UNIONTOWN, PA 15401-5090
(39.882963, -79.738081)"
LUZERNE,SANS SOUCI BEER DISTRIBUTOR LLC,"SANS SOUCI BEER DISTRIBUTOR, LLC",18706,US,40**3629,Cig/OTP Retail,02/28/2023,"734 SANS SOUCI PKWY
WILKES BARRE, PA 18706
(41.232565, -75.921101)"
LACKAWANNA,SHIV CONVENIENT MART LLC,SHIV CONVENIENT MART LLC,18510-1411,US,35**5004,Cig/OTP Retail,02/28/2023,"953 PRESCOTT AVE
SCRANTON, PA 18510-1411
(41.410356, -75.641927)"
ALLEGHENY,BROOKLINE TOBACCO OUTLET LLC,BROOKLINE TOBACCO OUTLET LLC,15226-2101,US,02**5412,Cig/OTP Retail,02/28/2023,"721 BROOKLINE BLVD
PITTSBURGH, PA 15226-2101
(40.394458, -80.02096)"
PHILADELPHIA,CHANG YE,GOLDEN DRAGON RESTAURANT,19150,US,51**9697,Retail,02/28/2023,"1503 A WADSWORTH AVENUE
PHILADELPHIA, PA 19150
(40.079193, -75.173813)"
LEHIGH,LINDEN STREET DELI & GROCERY LLC,LINDEN STREET DELI & GROCERY,18102,US,39**5529,Cig/OTP Retail,02/28/2023,"1101 LINDEN STREET
ALLENTOWN, PA 18102
(40.601369, -75.480641)"
PHILADELPHIA,7 ELEVEN STORE,7 11 STORE 1408 / 24586C,19137-1816,US,70**0255,Cig/OTP Retail,02/28/2023,"2634 BRIDGE ST
PHILADELPHIA, PA 19137-1816
(40.004294, -75.067209)"
PHILADELPHIA,EMMANUEL DELI GROCERY INC,EMMANUEL DELI GROCERY INC,19133,US,51**2828,Retail,02/28/2023,"145 W CUMBERLAND STREET
PHILADELPHIA, PA 19133
(39.987996, -75.133012)"
LACKAWANNA,OM SAI,OM SAI LLC,18504,US,35**5576,Cig/OTP Retail,02/28/2023,"1530 SOUTH MAIN AVE
TAYLOR, PA 18504
(41.394666, -75.689803)"
ALLEGHENY,THE BLIND FOX CIGAR BAR LLC,BLIND FOX CIGAR BAR,15216,US,02**4595,OTP Retail,02/28/2023,"3011 W LIBERTY AVE
PITTSBURGH, PA 15216
(40.392947, -80.037048)"
LAWRENCE,TM KENNEDY LLC,THE SHELBY BAR,16117-2172,US,37**2401,Retail,02/28/2023,"26 FOUNTAIN AVENUE
ELLWOOD CITY, PA 16117-2172
(40.861736, -80.280751)"
PIKE,SHOPRITE SUPERMARKETS INC,SHOPRITE OF WESTFALL TOWN CENTER,18336,US,52**4416,Retail,02/28/2023,"111 HULST DRIVE
MATAMORAS, PA 18336
(41.353254, -74.721764)"
CARBON,MALLARD MARKETS INC,MALLARD MARKETS INC,18235,US,13**3728,OTP Retail,02/28/2023,"161 S SECOND STREET
LEHIGHTON, PA 18235
(40.832282, -75.710189)"
UNKNOWN/OUT OF STATE,ASSOCIATED WHOLESALE GROCERS INC,ASSOCIATED WHOLESALE GROCERS INC,37072-1135,US,99**0182,Cigarette Stamping Agent,02/28/2023,"500 SOUTH CARTWRIGHT STREET
GOODLETTSVILLE, TN 37072-1135
(36.320364, -86.703956)"
NORTHAMPTON,TERRY & DONNA PICONE,NAZARETH BEVERAGE CENTER,18064-2823,US,48**5416,Retail,02/28/2023,"56 SOUTH ST.
NAZARETH, PA 18064-2823
(40.735103, -75.309946)"
UNKNOWN/OUT OF STATE,ASSOCIATED WHOLESALE GROCERS INC,ASSOCIATED WHOLESALE GROCERS INC,37202-1867,US,99**0184,OTP Wholesale,02/28/2023,"500 SOUTH CARTWRIGHT STREET
GOODLETTSVILLE, TN 37202-1867
(36.320364, -86.703956)"
BUTLER,SHAWN CASPER,CASPER'S ANNANDALE STATION INC,16040,US,10**2234,Retail,02/28/2023,"2103 WEST SUNBURY RD
HILLIARDS, PA 16040
(41.090126, -79.893078)"
LUZERNE,US GAS DURYEA LLC,PLAINS GAS,18072,US,40**5359,Cig/OTP Retail,02/28/2023,"1329 N RIVER RD
PLAINS, PA 18072
(41.290626, -75.844304)"
CUMBERLAND,SMOKY HEAVEN LLC,SOLTAN HOOKAH LOUNGE,17050,US,21**3851,OTP Retail,02/28/2023,"4930 CARLISLE PIKE
MECHANICSBURG, PA 17050
(40.23726, -76.968682)"
WESTMORELAND,DOLGENCORP LLC,DOLLAR GENERAL STORE #4557,15642-1849,US,65**6110,Cig/OTP Retail,02/28/2023,"12259 STATE ROUTE 30
N HUNTINGDON, PA 15642-1849
(40.334172, -79.743656)"
PHILADELPHIA,NEERAM LLC,Y AND D NEWSTAND,19106,US,51**9474,Retail,02/28/2023,"3 SOUTH 7TH AND MARKET ST
PHILADELPHIA, PA 19106"
WESTMORELAND,KKF LLC,TOBACCO VILLAGE,15601,US,65**4103,Cig/OTP Retail,02/28/2023,"5256 US RT 30
GREENSBURG, PA 15601
(40.303111, -79.508277)"
ERIE,COUNTRY FAIR INC,COUNTRY FAIR INC #72,16510-1705,US,70**8113,Cig/OTP Retail,02/28/2023,"2905 BUFFALO RD
ERIE, PA 16510-1705
(42.139244, -80.017344)"
CUMBERLAND,ANSH NEWVILLE LLC,ANSH NEWVILLELLC,17241,US,21**1148,Cig/OTP Retail,02/28/2023,"98 BROAD ST
NEWVILLE, PA 17241
(40.166555, -77.407553)"
WESTMORELAND,KOCHKA & SON TOWING LLC,KOCHKA & SON TOWING LLC,15690,US,65**8357,Cig/OTP Retail,02/28/2023,"136 SHERMAN AVE
VANDERGRIFT, PA 15690
(40.605348, -79.562038)"
UNKNOWN/OUT OF STATE,"VAPINUSA-WI, LLC",VAPINUSA,54115-3937,US,99**8453,OTP Wholesale,02/28/2023,"3450 PACKERLAND DRIVE
DE PERE, WI 54115-3937
(44.464121, -88.118756)"
WESTMORELAND,DAVID LUEHM,LUEHM CANDY COMPANY,15642,US,65**1921,OTP Retail,02/28/2023,"46 BUTTERMILK HOLLOW RD
NORTH HUNTINGDON, PA 15642
(40.32804, -79.727317)"
BUCKS,WARMINSTER SMOKE SHOP INC,WARMINSTER SMOKE SHOP INC,18974,US,09**9263,Cig/OTP Retail,02/28/2023,"352 YORK RD
WARMINSTER, PA 18974
(40.200186, -75.101065)"
LYCOMING,RAAMP ENTERPRISES LLC,RAAMP ENTERPRISES LLC,17745-9018,US,41**7245,Retail,02/28/2023,"17770 N STATE ROUTE 44
LOCK HAVEN, PA 17745-9018
(41.328292, -77.474919)"
ALLEGHENY,GLASSMERE FUEL SERVICE INC,GLASSMART FOOD STORE 5,15084-2627,US,02**8826,Cig/OTP Retail,02/28/2023,"1967 SAXONBURG BLVD
TARENTUM, PA 15084-2627
(40.628751, -79.855912)"
UNKNOWN/OUT OF STATE,WAKEFERN FOOD CORP,WAKEFERN FOOD CORP,08831,US,00**1954,Wholesale,02/28/2023,"ATTN: PAUL SIVAK
JAMESBURG, NJ 08831"
PHILADELPHIA,PATEL NEWSSTAND 1,PATEL NEWSSTAND 1,19107,US,51**6676,Retail,02/28/2023,"NEC BROAD & SPRUCE ST
PHILADELPHIA, PA 19107"
DELAWARE,MP3 MANAGEMENT LLC,UNITED CHECK CASHING,19032,US,23**2786,Retail,02/28/2023,"1872 DELMAR DRIVE
FOLCROFT, PA 19032
(39.892123, -75.282784)"
PERRY,KIYAN PATEL INC,KIYAN PATEL INC,17047,US,50**7676,OTP Retail,02/28/2023,"3521 SHERMANS VALLEY ROAD
LOYSVILLE, PA 17047
(40.365631, -77.34461)"
BUCKS,PATSON VILLAGE INC,MARKET AT VILLAGE SHIRES,18966,US,09**7012,Retail,02/28/2023,"1486 BUCK RD
HOLLAND, PA 18966
(40.204119, -74.955437)"
ALLEGHENY,MIRAMAR BRANDS PENNSYLVANIA INC.,7-ELEVEN STORE #36205,15147,US,02**1852,Cig/OTP Retail,02/28/2023,"6106 SALTSBURG RD.
VERONA, PA 15147
(40.484261, -79.819279)"
PHILADELPHIA,SHREE JALARAM NEWS INC,SHREE JALARAM NEWS INC,19107,US,51**4069,Retail,02/28/2023,"10 TH MARKET STREET S W C
PHILADELPHIA, PA 19107"
MONTGOMERY,MARKET OF LAFAYETTE HILL INC,THE MARKET OF LAFAYETTE HILL,19444-1809,US,46**7304,Retail,02/28/2023,"531 GERMANTOWN PIKE
LAFAYETTE HL, PA 19444-1809
(40.086492, -75.252134)"
CHESTER,"JMLE EXPRESS OP, LLC",SUDSY SAMS,19320,US,15**2471,Cig/OTP Retail,02/28/2023,"2025 E LINCOLN HIGHWAY
COATESVILLE, PA 19320
(39.989578, -75.784515)"
MONTGOMERY,SMOKE 2 GO LLC,SMOKE 2 GO LLC,19464,US,46**4732,Cig/OTP Retail,02/28/2023,"1493 E HIGH ST
POTTSTOWN, PA 19464
(40.243816, -75.616199)"
ERIE,PRABH KIRPA LLC,PRABH KIRPA LLC,16507,US,25**1870,Retail,02/28/2023,"1402 EAST LAKE ROAD
ERIE, PA 16507
(42.140894, -80.05533)"
LACKAWANNA,JUST VAPOR LLC,JUST VAPOR LLC,18411,US,35**2453,OTP Retail,02/28/2023,"1000 SOUTH STATE STREET
CLARKS SUMMIT, PA 18411
(41.489183, -75.696984)"
PHILADELPHIA,C J LEES FOOD MARKET INC,C J LEES FOOD MARKET INC,19144,US,51**4106,OTP Retail,02/28/2023,"4716 GREENE STREET
PHILADELPHIA, PA 19144
(40.025815, -75.162853)"
MERCER,SASSYA LLC,SASSYA LLC,16121,US,43**3042,Cig/OTP Retail,02/28/2023,"823 MLK JR. BLVD
FARRELL, PA 16121"
PIKE,ON THE ROAD CONVIENIENCE STORE INC,ON THE ROAD CONVENIENCE STORE INC,18336-1434,US,52**8389,Cig/OTP Retail,02/28/2023,"111 PENNSYLVANIA AVE
MATAMORAS, PA 18336-1434
(41.36976, -74.699248)"
WESTMORELAND,MIRAMAR BRANDS PENNSYLVANIA INC.,7-ELEVEN STORE #36184,15642,US,65**1848,Cig/OTP Retail,02/28/2023,"7910 US ROUTE 30 E
IRWIN, PA 15642
(40.314598, -79.675009)"
MONTGOMERY,MUTHE INC,"MUTHE, INC",19034-3304,US,46**4967,Cig/OTP Retail,02/28/2023,"518 PENNSYLVANIA AVE
FORT WASHINGTON, PA 19034-3304
(40.133463, -75.20502)"
CHESTER,RECA ENTERPRISES INCORPORATED,RECA ENTERPRISES INC,19341-2206,US,15**0987,Cig/OTP Retail,02/28/2023,"102 N POTTSTOWN PIKE
EXTON, PA 19341-2206
(40.028854, -75.628876)"
PHILADELPHIA,M & L GROCERY STORE INC,M & L GROCERY STORE INC,19104,US,51**8093,Retail,02/28/2023,"742 N 38TH STREET
PHILADELPHIA, PA 19104
(39.966894, -75.198063)"
MONTGOMERY,7 ELEVEN STORE,7 ELEVEN STORE 1408 11354E,19038-2233,US,70**0410,Cig/OTP Retail,02/28/2023,"2869 LIMEKILN PIKE
GLENSIDE, PA 19038-2233
(40.112706, -75.165519)"
ALLEGHENY,GLASSMERE FUEL SERVICE INC,GLASSMERE FOOD MART 252,15144,US,02**5599,Cig/OTP Retail,02/28/2023,"3001 PITTSBURGH ST
SPRINGDALE, PA 15144"
DELAWARE,BROOMALL BEER LLC,BROOMALL BEER LLC,19008,US,23**5593,Cig/OTP Retail,02/28/2023,"2056 SPROUL RD
BROOMALL, PA 19008
(39.966477, -75.3591)"
LEHIGH,RAJNI GREWAL,7 ELEVEN STORE 23322 C,18103-4168,US,70**0310,Cig/OTP Retail,02/28/2023,"11 E SUSQUEHANNA ST
ALLENTOWN, PA 18103-4168
(40.590679, -75.452754)"
PHILADELPHIA,CARLOS FERNANDEZ,FERNANDEZ FOOD MARKET,19143,US,51**1492,Cig/OTP Retail,02/28/2023,"600 S 51ST ST
PHILADELPHIA, PA 19143
(39.950071, -75.22493)"
PHILADELPHIA,MAYFAIR QUICK MART 1 INC,MAIFAIR QUICK MART 1 INC,19135,US,51**0656,Cig/OTP Retail,02/28/2023,"7250 FRANKFORD AVE
PHILADELPHIA, PA 19135
(40.03636, -75.041691)"
MONTGOMERY,GILBERTSVILLE CIGAR FACTORY LLC,GILBERTSVILLE CIGAR FACTORY LLC,19525,US,46**5396,Retail,02/28/2023,"1237 E. PHILADELPHIA AVE
GILBERTSVILLE, PA 19525
(40.321486, -75.612916)"
DELAWARE,"JYENA ENTERPRISES, LLC","JYENA ENTERPRISES, LLC",19014,US,23**8312,OTP Wholesale,02/28/2023,"510 TURNER INDUSTRIAL WAY
ASTON, PA 19014
(39.855443, -75.423388)"
