County,Legal Name,Trade Name,Postal Code,Country,Account Code,License Type,Expiration Date,Address & Lat/Long
UNKNOWN/OUT OF STATE,BAD DRIP INC,BAD DRIP INC,14624-4779,USA,99**8133,OTP Wholesaler,02/29/2024,"465 PAUL RD STE L
ROCHESTER, NY 14624-4779
(43.105294319, -77.716648755)"
SULLIVAN,DUSHORE BEVERAGE,DUSHORE BEVERAGE,18614-0249,USA,57**7343,Cigarette Retail,02/29/2024,"PO BOX 249
DUSHORE, PA 18614-0249"
BRADFORD,BISHOP BROS DEV CO INC,BISHOP'S HARDWARE & RENTAL,18850-7980,USA,08**0989,Cigarette/OTP Retail,02/29/2024,"23449 ROUTE 220
ULSTER, PA 18850-7980
(41.83993, -76.50484)"
PHILADELPHIA,MIAMI STORE INC,MIAMI STORE INC,19147-2102,USA,51**5512,Cigarette/OTP Retail,02/29/2024,"648 SOUTH ST
PHILADELPHIA, PA 19147-2102
(39.9422, -75.15369)"
MONTGOMERY,CAPL RETAIL LLC,JOE'S KWIK MARTS #1049,19406-3760,USA,46**1303,Cigarette/OTP Retail,02/29/2024,"710 S GULPH RD
KING OF PRUSSIA, PA 19406-3760
(40.0759, -75.35353)"
BEDFORD,DODSON JOLENE R,LINDAS LITTLE GENERAL,16650-8247,USA,05**1666,Cigarette Retail,02/29/2024,"6453 RAYSTOWN RD
HOPEWELL, PA 16650-8247
(40.13837, -78.26967)"
YORK,GSR GROUP INC,GSR GROUP INC,17318-2024,USA,67**7242,Cigarette/OTP Retail,02/29/2024,"3311 N GEORGE ST
EMIGSVILLE, PA 17318-2024
(40.01895, -76.7283)"
PIKE,SNH REAL ESTATES LLC,SNH REAL ESTATES LLC,18328-3484,USA,52**1332,Cigarette Retail,02/29/2024,"1816 ROUTE 739
DINGMANS FERRY, PA 18328-3484
(41.25014, -74.89428)"
ARMSTRONG,CORNER FOODMART LLC,CORNER FOODMART LLC,15774-2204,USA,03**3022,Cigarette/OTP Retail,02/29/2024,"11134 US ROUTE 422
SHELOCTA, PA 15774-2204
(40.68828, -79.33733)"
BUTLER,VAPOR IQ LLC,VAPOR IQ LLC CBD PLUS,16055-9301,USA,10**0746,OTP Retail,02/29/2024,"737 S PIKE RD
SARVER, PA 16055-9301
(40.69727, -79.71837)"
DELAWARE,RJ BUSINESS CORPORATION,RJ BUSINESS CORPORATION,19076-2411,USA,23**7680,Cigarette Retail,02/29/2024,"800 CHESTER PIKE
PROSPECT PARK, PA 19076-2411
(39.882, -75.30616)"
PHILADELPHIA,GRANDBLACKCIGARS&CO,GRANDBLACKCIGARS&CO,19138-2002,USA,51**6237,OTP Retail,02/29/2024,"6970 CEDAR PARK AVE
PHILADELPHIA, PA 19138-2002
(40.06038, -75.15286)"
PHILADELPHIA,REGALADO DELI GROCERY INC,REGALADO DELI GROCERY INC,19139-3932,USA,51**3188,Cigarette/OTP Retail,02/29/2024,"5503 SPRUCE ST
PHILADELPHIA, PA 19139-3932
(39.95535, -75.23214)"
DELAWARE,SUNMEET BEVERAGE LLC,SUNMEET BEVERAGE LLC,19082-1761,USA,23**7222,OTP Retail,02/29/2024,"7001 W CHESTER PIKE
UPPER DARBY, PA 19082-1761
(39.9621, -75.26197)"
PIKE,SNH REAL ESTATES LLC,SNH REAL ESTATES LLC,18328-3484,USA,52**2052,OTP Retail,02/29/2024,"1816 ROUTE 739
DINGMANS FERRY, PA 18328-3484
(41.25014, -74.89428)"
LAWRENCE,UTSAV FOOD INC,UTSAV FOOD INC,16101-8448,USA,37**0070,Cigarette/OTP Retail,02/29/2024,"3384 PERRY HWY
NEW CASTLE, PA 16101-8448
(41.02282, -80.18663)"
CUMBERLAND,NEPALI GROCERY AND CELL PHONE REPAIR INC,NEPALI GROCERY & CELL PHONE REPAIR,17013-2578,USA,21**1943,Cigarette/OTP Retail,02/29/2024,"200 S SPRING GARDEN ST
CARLISLE, PA 17013-2578
(40.19855, -77.1818)"
BUCKS,CAPL RETAIL LLC,JOE'S KWIK MARTS #1048,18944-4184,USA,09**5802,Cigarette/OTP Retail,02/29/2024,"515 DUBLIN PIKE
PERKASIE, PA 18944-4184
(40.40469, -75.25568)"
DELAWARE,SUNMEET BEVERAGE LLC,SUNMEET BEVERAGE LLC,19082-1761,USA,23**7109,Cigarette Retail,02/29/2024,"7001 W CHESTER PIKE
UPPER DARBY, PA 19082-1761
(39.9621, -75.26197)"
WESTMORELAND,CENTER INDEPENDENT OIL STORES LLC,CIO STORES LLC #25,15666-1149,USA,65**1536,Cigarette/OTP Retail,02/29/2024,"550 N CHURCH ST
MOUNT PLEASANT, PA 15666-1149
(40.16091, -79.54511)"
DAUPHIN,101 DISTRIBUTORS LLC,101 DISTRIBUTORS LLC,17111-1063,USA,22**8555,OTP Wholesaler,02/29/2024,"2771 PAXTON ST
HARRISBURG, PA 17111-1063
(40.25575, -76.84235)"
ALLEGHENY,GRAB N GO LLC,GRAB N GO STORE,15102-3148,USA,02**1325,Cigarette/OTP Retail,02/29/2024,"1010 CLIFTON RD
BETHEL PARK, PA 15102-3148
(40.29793, -80.04578)"
ALLEGHENY,VIRGILI BEER DIST INC,VIRGILI BEER DIST. INC.,15102-3808,USA,02**1888,Cigarette Retail,02/29/2024,"2834 S PARK RD
BETHEL PARK, PA 15102-3808
(40.32802, -80.03746)"
ALLEGHENY,GUJJAR JATT LLC,GUJJAR JATT LLC,15025-1436,USA,02**1942,Cigarette/OTP Retail,02/29/2024,"601 SAINT CLAIR AVE
CLAIRTON, PA 15025-1436
(40.29334, -79.88757)"
LEHIGH,CAPL RETAIL LLC,JOE'S KWIK MARTS #1047,18052-7004,USA,39**1162,Cigarette/OTP Retail,02/29/2024,"1110 MACARTHUR RD
WHITEHALL, PA 18052-7004
(40.62007, -75.48015)"
LACKAWANNA,SHREE KHODIYAR MAA LLC,CONVENIENT FOOD MART #3001,18509-1019,USA,35**0855,Cigarette/OTP Retail,02/29/2024,"2500 BOULEVARD AVE
SCRANTON, PA 18509-1019
(41.43793, -75.64033)"
LUZERNE,DOMMES LLC,REHOSKIS MARKET,18642-1408,USA,40**0362,Cigarette Retail,02/29/2024,"201 FOOTE AVE
DURYEA, PA 18642-1408
(41.34255, -75.76171)"
PHILADELPHIA,KAABA MARKET LLC,KAABA MARKET,19114-2205,USA,51**5148,Cigarette/OTP Retail,02/29/2024,"9257 ROOSEVELT BLVD
PHILADELPHIA, PA 19114-2205
(40.07729, -75.03176)"
