County,Legal Name,Trade Name,Postal Code,Country,Account Code,License Type,Expiration Date,Address & Lat/Long
YORK,RED LION FRATERNITY HOME INC,RED LION FRATERNITY HOME INC,17356-0160,US,67**0300,Retail,02/28/2022,"323 W BROAD WAY
RED LION, PA 17356-0160
(39.905033, -76.648664)"
ALLEGHENY,VAPE FORBES LLC,VAPE FORBES LLC,15213,US,02**3400,Cig/OTP Retail,02/28/2022,"3801 FORBES AVE
PITTSBURGH, PA 15213
(40.441612, -79.956892)"
MONTGOMERY,LEVY CAFE INC,LEVY CAFE INC,19004-2029,US,46**2973,Cig/OTP Wholesaler,02/28/2022,"231 ROCK HILL RD
BALA CYNWYD, PA 19004-2029
(40.021599, -75.233181)"
LANCASTER,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #231,17512-8939,US,36**6725,Cig/OTP Retail,02/28/2022,"1199 PROSPECT ROAD
COLUMBIA, PA 17512-8939
(40.0367, -76.455207)"
JEFFERSON,EASTERN PETRO LLC,EASTERN PETRO LLC BROOKVILLE,15825,US,33**3386,Cig/OTP Retail,02/28/2022,"63 S WHITE ST
BROOKVILLE, PA 15825
(41.154829, -79.085774)"
MONROE,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #304,18302,US,45**6778,Cig/OTP Retail,02/28/2022,"5005 WINONA FALLS ROAD
EAST STROUDSBURG, PA 18302
(41.078343, -75.028452)"
NORTHAMPTON,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #224,18015-9511,US,48**6712,Cig/OTP Retail,02/28/2022,"1140 HELLERTOWN ROAD
BETHLEHEM, PA 18015-9511
(40.598299, -75.340689)"
LEBANON,PUFF SUPER VALUE INC,PUFF SUPER VALUE 23,17042-2541,US,38**5187,Cig/OTP Retail,02/28/2022,"652 E PENN AVE
CLEONA, PA 17042-2541
(40.339167, -76.46375)"
BUTLER,D KNOCH AMUSEMENTS INC,MOOSE LODGE OF BUTLER,16001-5745,US,10**7753,Vending,02/28/2022,"225 W JEFFERSON ST
BUTLER, PA 16001-5745
(40.861063, -79.898098)"
LANCASTER,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #060,17602-3461,US,36**6617,Cig/OTP Retail,02/28/2022,"2453 OLD PHILADELPHIA PIKE
LANCASTER, PA 17602-3461
(40.039455, -76.204659)"
LEHIGH,SHRI BKR LLC,VILLAGE C STORE,18080-3352,US,39**9777,Cig/OTP Retail,02/28/2022,"6966 PA ROUTE 873
SLATINGTON, PA 18080-3352
(40.72886, -75.618025)"
MONTGOMERY,GANESHA PETRO GROUP LLC,GANESHA PETRO GROUP LLC,19428,US,46**2876,Cig/OTP Retail,02/28/2022,"101 CRAWFORD AVE
WEST CONSHOHOCKEN, PA 19428
(40.068297, -75.309439)"
NORTHUMBERLAND,KULPMONT BROTHERS LLC,KULPMONT BROTHERS LLC,17834,US,49**8157,OTP Retail,02/28/2022,"600 CHESTNUT STREET
KULPMONT, PA 17834
(40.794287, -76.467029)"
DELAWARE,FROLIC USA LLC,FROLIC USA LLC,19082,US,23**9014,Cig/OTP Retail,02/28/2022,"8901 WEST CHESTER PIKE
UPPER DARBY, PA 19082
(39.967591, -75.289101)"
BUCKS,QUAKERTOWN SMOKE SHOP INC,QUAKERTOWN SMOKE SHOP INC,18951,US,09**2891,Retail,02/28/2022,"585-1 SOUTH WEST END BLVD
QUAKERTOWN, PA 18951
(40.42892, -75.349792)"
MONTGOMERY,SRI LAKSHMI INC,FRIENDLY FOOD MARKET,19446-2028,US,46**8922,Cig/OTP Retail,02/28/2022,"801 W MAIN ST
LANSDALE, PA 19446-2028
(40.24705, -75.292861)"
YORK,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #009,17408-1473,US,67**6568,Cig/OTP Retail,02/28/2022,"2820 CARLISLE RD
YORK, PA 17408-1473
(39.981624, -76.812647)"
CHESTER,FROLIC USA LLC,FROLIC ON THE MOUNTAIN,18372,US,15**5674,Cig/OTP Retail,02/28/2022,"STATE RD RTE 611
TANNERSVILLE, PA 18372"
DAUPHIN,CAPITAL VENDING COMPANY INC,SPARE,17111,US,22**1097,Vending,02/28/2022,"807 S 27TH STREET
HARRISBURG, PA 17111
(40.258718, -76.841758)"
ALLEGHENY,PAVITRA CORPORATION,7-ELEVEN STORE #36189A,15102,US,02**0858,Cig/OTP Retail,02/28/2022,"6250 LIBRARY ROAD
BETHEL PARK, PA 15102
(40.293729, -80.030666)"
DAUPHIN,BILL & CINDYS VALLEY GROCERY LLC,BILL & CINDYS VALLEY GROCERY LLC,17112,US,22**5937,Cig/OTP Retail,02/28/2022,"1610 FISHING CREEK VALLEY
HARRISBURG, PA 17112
(40.366825, -76.865288)"
BEDFORD,SAC INC,S A C SHOP 14,15537-6912,US,05**4149,Cig/OTP Retail,02/28/2022,"10071 LINCOLN HWY
EVERETT, PA 15537-6912
(40.026009, -78.447441)"
ALLEGHENY,BIG DOG VENDING INC,RUM MONKEYS,15025,US,02**7778,Vending,02/28/2022,"1617 STATE ST.
JEFFERSON HILLS, PA 15025
(40.259281, -79.917315)"
ARMSTRONG,IDEA PK INC,BZ MART,15613,US,03**8184,OTP Retail,02/28/2022,"100 NORTH PLAZA
APOLLO, PA 15613
(40.581784, -79.566447)"
PHILADELPHIA,CARLOS BORRERO,HOOKAH DREAMS LOUNGE,19122,US,51**8253,OTP Retail,02/28/2022,"1000 DIAMOND STREET
PHILADELPHIA, PA 19122
(39.984162, -75.152606)"
BEAVER,JEHAD JABER,PLAN 12 MARKET,15001-3917,US,04**8151,Retail,02/28/2022,"1045 MAIN ST
ALIQUIPPA, PA 15001-3917
(40.608117, -80.259683)"
MONTGOMERY,ES & EL INCORPORATED,SUNOCO A PLUS,19027,US,46**9894,Cig/OTP Retail,02/28/2022,"209 TOWNSHIP LINE RD
ELKINS PARK, PA 19027
(40.070347, -75.098817)"
PHILADELPHIA,ALAMODAK INC,ALAMODAK INC,19122-3234,US,51**0850,OTP Retail,02/28/2022,"161 CECIL B MOORE AVE # 73
PHILADELPHIA, PA 19122-3234
(39.976078, -75.137334)"
BERKS,SHARTLESVILLE COMM FIRE CO 1,O,19554-0007,US,06**9509,Retail,02/28/2022,"5633 OLD ROUTE 22
SHARTLESVILLE, PA 19554-0007
(40.513247, -76.10558)"
DAUPHIN,CAPITAL VENDING COMPANY INC,SAWYERS,17101,US,22**1097,Vending,02/28/2022,"210 N 2ND STREET
HARRISBURG, PA 17101
(40.261201, -76.8843)"
LACKAWANNA,PENNSYLVANIA COIN LLC,JOES PLACE,18651-2456,US,35**7786,Vending,02/28/2022,"299 VINE ST
PLYMOUTH, PA 18651-2456
(41.249153, -75.938314)"
BUCKS,MODERN FOG VAPOR INC,MODERN FOG VAPOR INC,19067-3501,US,09**6611,OTP Retail,02/28/2022,"305 W TRENTON AVE
MORRISVILLE, PA 19067-3501
(40.211918, -74.792856)"
BERKS,MARAHANA INC,SUNOCO MINI MART,19611-1035,US,06**5999,Cig/OTP Retail,02/28/2022,"501 PENN AVE
WEST READING, PA 19611-1035
(40.335727, -75.947955)"
ALLEGHENY,ACME VENDING INC,REGINA ELENA CLUB,15215,US,02**7734,Vending,02/28/2022,"615 MAIN STREET
SHARPSBURG, PA 15215
(40.494641, -79.935222)"
CHESTER,TRINITY SHOP INC,TRINITY SHOP INC,19320,US,15**9666,Cig/OTP Retail,02/28/2022,"158 STRODE AVE
COATESVILLE, PA 19320
(39.978326, -75.82986)"
CARBON,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #102,18232-1302,US,13**6688,Cig/OTP Retail,02/28/2022,"22-32 W PATTERSON ST
LANSFORD, PA 18232-1302
(40.831282, -75.88528)"
PHILADELPHIA,PHINGA TRINH,VINH LONG CAFE,19148-3261,US,51**6509,Retail,02/28/2022,"2230 S 7TH ST
PHILADELPHIA, PA 19148-3261
(39.921016, -75.158611)"
PHILADELPHIA,ALEX AND MICHAEL INDUSTRIES INC,EAST COAST EXPRESS MART,19116-1601,US,51**1184,Retail,02/28/2022,"13001 BUSTLETON AVE
PHILADELPHIA, PA 19116-1601
(40.123591, -75.015391)"
PHILADELPHIA,ALEX AND MICHAEL INDUSTRIES INC,ARAMINGO GULF,19124-4143,US,51**8192,Retail,02/28/2022,"2455 DUNCAN ST
PHILADELPHIA, PA 19124-4143
(40.002854, -75.079871)"
UNKNOWN/OUT OF STATE,R0MMAN INCORPORATED,R0MMAN INCORPORATED,78744,US,99**7844,OTP Wholesale,02/28/2022,"3731 DROSSETT DR
AUSTIN, TX 78744
(30.211512, -97.730997)"
LANCASTER,SMILEYS DELI & PROVISIONS LLC,SMILEY'S DELI,17602,US,36**3064,Retail,02/28/2022,"402 NORTH DUKE STREET
LANCASTER, PA 17602
(40.044594, -76.304884)"
FAYETTE,O C I INC,GRAFT OIL COMPANY,15425-2815,US,70**0016,Cig/OTP Retail,02/28/2022,"500 SNYDER ST
CONNELLSVILLE, PA 15425-2815
(40.019796, -79.577061)"
UNKNOWN/OUT OF STATE,INTER CONTINENTAL CIGAR CORP,WAYNE BAXTER,33025,US,99**2114,OTP Retail Itinerant,02/28/2022,"3251 COMMERCE PARKWAY
MIRAMAR, FL 33025
(25.978237, -80.281545)"
BUCKS,LEVITTOWN OUTLET LLC,LEVITTOWN OUTLET LLC,19057,US,09**8316,Retail,02/28/2022,"6730 NEW FALLS RD
LEVITTOWN, PA 19057
(40.15166, -74.859172)"
LANCASTER,JOHN HERRS VILLAGE MARKET INC,JOHN HERRS VILLAGE MARKET,17551-1199,US,36**4165,Cig/OTP Retail,02/28/2022,"25 MANOR AVE
MILLERSVILLE, PA 17551-1199
(40.009121, -76.357202)"
ARMSTRONG,IDEA PK INC,BZ MART,15613,US,03**7842,Retail,02/28/2022,"100 NORTH PLAZA
APOLLO, PA 15613
(40.581784, -79.566447)"
CRAWFORD,SLOCUM STORE LLC,SLOCUMS STORE,16434,US,20**5866,OTP Retail,02/28/2022,"268 MAIN ST
SPARTANSBURG, PA 16434
(41.824264, -79.688869)"
PHILADELPHIA,STOP N SHOP II INC,STOP N SHOP II INC,19136-3628,US,51**7889,Cig/OTP Retail,02/28/2022,"4345 CHIPPENDALE ST
PHILADELPHIA, PA 19136-3628
(40.036197, -75.031911)"
LANCASTER,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #029,17601-3723,US,36**6579,Cig/OTP Retail,02/28/2022,"2673 LITITZ PIKE
LANCASTER, PA 17601-3723
(40.100022, -76.305359)"
BERKS,11TH AND PIKE ST,K & B GROCERY,19604,US,06**9127,OTP Retail,02/28/2022,"1400 NORTH 11TH ST
READING, PA 19604
(40.356295, -75.915588)"
ALLEGHENY,TARENTUM GROCERY MART,TARENTUM GROCERY MART,15084,US,02**3692,Retail,02/28/2022,"331 E 6TH AVE
TARENTUM, PA 15084
(40.602998, -79.752681)"
PHILADELPHIA,M & M CONVENIENCE STORE LLC,M&M CONVENIENCE STORE,19121,US,51**0460,Cig/OTP Retail,02/28/2022,"2235 CECIL B MOORE AVE
PHILADELPHIA, PA 19121
(39.980535, -75.172267)"
BLAIR,PUFF SUPER VALUE INC,PUFF SUPER VALUE 06,16686-1512,US,07**5181,Cig/OTP Retail,02/28/2022,"912 PENNSYLVANIA AVE STE 1
TYRONE, PA 16686-1512
(40.669092, -78.238949)"
LACKAWANNA,PENNSYLVANIA COIN LLC,JERRYS PLACE,18705-2022,US,35**7786,Vending,02/28/2022,"70 HUDSON RD
PLAINS, PA 18705-2022
(41.275107, -75.842317)"
NORTHAMPTON,WILSON DELI INC,WILSON DELI INC,18042-5318,US,48**2720,Retail,02/28/2022,"2400 FREEMANSBURG AVE
EASTON, PA 18042-5318
(40.678401, -75.242767)"
INDIANA,VAPEXCAPE LLC,INDIANA SHOP,15701,US,32**2032,OTP Retail,02/28/2022,"940 OAKLAND AVE
INDIANA, PA 15701
(40.620504, -79.156934)"
LEBANON,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #045,17003-1411,US,38**6598,Cig/OTP Retail,02/28/2022,"2 EAST MAIN STREET
ANNVILLE, PA 17003-1411
(40.329334, -76.515153)"
INDIANA,PAR MAR OIL COMPANY,PAR MAR STORES 64,15681-1130,US,32**1016,Cig/OTP Retail,02/28/2022,"102 WASHINGTON ST
SALTSBURG, PA 15681-1130
(40.486142, -79.452688)"
BEAVER,M & S VENDING,HAZEL MANOR,16117,US,04**8148,Vending,02/28/2022,"215 NORTH STREET
ELLWOOD CITY, PA 16117
(40.865973, -80.286985)"
ALLEGHENY,PAR MAR OIL COMPANY,PAR MAR STORES 60,15084,US,02**1012,Cig/OTP Retail,02/28/2022,"7208 STATE ROUTE 908
TARENTUM, PA 15084
(40.658778, -79.781884)"
LACKAWANNA,SUMMIT CITY MARKET LLC,CITY MARKET AND CAFE 3039,18411,US,35**3663,Cig/OTP Retail,02/28/2022,"200 NORTH STATE STREET
CLARKS SUMMIT, PA 18411
(41.497485, -75.705863)"
ALLEGHENY,PAR MAR OIL COMPANY,PAR MAR STORE #104,15237,US,02**8282,Retail,02/28/2022,"501 LOWRIES RUN RD
PITTSBURGH, PA 15237
(40.534315, -80.053143)"
LACKAWANNA,PENNSYLVANIA COIN LLC,THE STONEHOUSE,18407,US,35**7786,Vending,02/28/2022,"23 FALLBROOK ROAD
CARBONDALE, PA 18407
(41.578868, -75.504329)"
PHILADELPHIA,REAL DELI & GROCERY STORE INC,REAL DELI & GROCERY STORE INC,19139,US,51**1097,Retail,02/28/2022,"262 N SIMPSON STREET
PHILADELPHIA, PA 19139
(39.967589, -75.249013)"
ALLEGHENY,JACOB NIKITUK,MOLNAR S LOUNGE,15037,US,02**5008,Vending,02/28/2022,"2550 HAYDEN BLVD
ELIZABETH, PA 15037
(40.231126, -79.855675)"
CHESTER,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #097,19320-3540,US,15**6682,Cig/OTP Retail,02/28/2022,"1014 EAST LINCOLN HWY
COATESVILLE, PA 19320-3540
(39.986346, -75.804893)"
ALLEGHENY,A & H US CORPORATION,7 ELEVEN STORE 36146A,15222-1829,US,70**2153,Cig/OTP Retail,02/28/2022,"429 WOOD ST
PITTSBURGH, PA 15222-1829
(40.440192, -80.000763)"
LACKAWANNA,HUGO VENDING,PILBAS SPORTS BAR,18518,US,35**7799,Vending,02/28/2022,"518 N. MAIN ST
OLD FORGE, PA 18518
(41.375332, -75.7255)"
ALLEGHENY,ACME VENDING INC,ACME VENDING INC,15212,US,02**7734,Vending,02/28/2022,"1843 MAIN STREET
PITTSBURGH, PA 15212
(40.49435, -79.919773)"
LANCASTER,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKETS #041,17572-9610,US,36**6595,Cig/OTP Retail,02/28/2022,"2787 LINCOLN HWY EAST
RONKS, PA 17572-9610
(40.017102, -76.165788)"
